Comment,Designator,Footprint,LCSC
"100n","C1,C2,C5,C6,C7,C8,C9,C10,C11","Capacitor_SMD:C_0402_1005Metric","C1525"
"10u","C12,C14","Capacitor_SMD:C_0805_2012Metric","C15850"
"15p","C15,C16","Capacitor_SMD:C_0402_1005Metric","C1548"
"4.7u","C22","Capacitor_SMD:C_0805_2012Metric","C1779"
"2.2u","C23","Capacitor_SMD:C_0805_2012Metric","C377773"
"1u","C3,C4,C17,C18,C19,C20,C21","Capacitor_SMD:C_0402_1005Metric","C52923"
"USB-C","J1","proj:USB_C_Receptacle_XKB_U262-16XN-4BVC11","C319148"
"OLED","J2","proj:FPC-SMD_30P-P0.50_HDGC_0.5K-BS-30PWB","C2915410"
"USB-A","J3","proj:USB-A-SMD_USB-M-21","C42559"
"1k","R1,R2","Resistor_SMD:R_0402_1005Metric","C11702"
"10k","R12","Resistor_SMD:R_0402_1005Metric","C25744"
"22","R3,R4,R10,R11","Resistor_SMD:R_0402_1005Metric","C25092"
"5.1k","R5,R6","Resistor_SMD:R_0402_1005Metric","C25905"
"4.7k","R7,R8","Resistor_SMD:R_0402_1005Metric","C25900"
"330k","R9","Resistor_SMD:R_0402_1005Metric","C25104"
"SW_DIP_x01","SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18","proj:SW_Hotswap_Kailh_Choc_V1V2","C5333465"
"SW_SPDT","SW19,SW20","proj:SW-SMD_SS-1290","C589295"
"SW_Push","SW21","proj:KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6","C470427"
"RP2040","U1","proj:RP2040-QFN-56","C2040"
"AP2112K-3.3","U2","Package_TO_SOT_SMD:SOT-23-5","C51118"
"W25Q16JVSNIQ","U3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C2456211"
"USBLC6-2P6","U4,U5","Package_TO_SOT_SMD:SOT-666","C15999"
"X322512MOB4SI","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C70565"